code,kokyozahyo_area
11101,0
11102,0
11103,0
11104,0
11105,0
11106,0
11107,0
11108,0
11109,0
11110,0
11201,0
11202,0
11203,0
11206,0
11207,0
11208,0
11209,0
11210,0
11211,0
11212,0
11214,0
11215,0
11216,0
11217,0
11218,0
11219,0
11221,0
11222,0
11225,0
11227,0
11228,0
11229,0
11230,0
11231,0
11232,0
11233,0
11234,0
11235,0
11237,0
11238,0
11239,0
11240,0
11241,0
11242,0
11243,0
11245,0
11246,0
11301,0
11324,0
11326,0
11327,0
11341,0
11342,0
11343,0
11346,0
11347,0
11348,0
11349,0
11361,0
11362,0
11365,0
11369,0
11381,0
11383,0
11385,0
11401,0
11408,0
11421,0
11424,0
11425,0
11442,0
11445,0
11461,0
11464,0
11465,0
